School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Jacksonville University,Private,Southern,FL,-81.606507,30.35084316,46700,66200,36700,47200,88500,121000,Nursing,Nutrition,MIS,Business Management,Sociology
Juniata College,Liberal Arts,Northeastern,PA,-78.015158,40.49949291,41800,78900,,67200,110000,,Nursing,Business Management,Communications,Psychology,Accounting
Kansas State University (KSU),State,Midwestern,KS,-96.581077,39.188616,43300,79000,37200,54100,106000,138000,Business Management,Mechanical Engineering,Finance,Marketing,Education
Kent State University,State,Midwestern,OH,-81.337128,41.151603,38700,62600,36100,45800,87000,124000,Nursing,Psychology,Business Management,Marketing,Communications
La Salle University (Philadelphia),Private,Northeastern,PA,-75.151926,40.03867306,43400,84700,45300,57500,106000,151000,Nursing,Psychology,Marketing,Communications,Finance
Lafayette College,Liberal Arts,Northeastern,PA,-75.211342,40.69951263,53900,107000,70600,79300,144000,204000,Economics,Political Science,Mechanical Engineering,Psychology,International Relations
Lamar University,State,Southern,TX,-94.073389,30.044274,46500,79400,38700,51600,114000,158000,Nursing,Business Management,Criminal Justice,Mechanical Engineering,Chemical Engineering
"Lee University (Cleveland, TN)",Private,Southern,TN,-84.870018,35.16616609,34500,53900,,44500,76800,,Business Management,Education,Mechanical Engineering,Aerospace Engineering,Civil Engineering
Lehigh University,Private,Northeastern,PA,-75.377095,40.6066257,59200,105000,69500,85000,160000,229000,Business Management,Psychology,Religion,Nutrition,Communications
LeTourneau University,Private,Southern,TX,-94.72726,32.46765824,49500,73800,41200,52700,95200,126000,Finance,Mechanical Engineering,Computer Science,Accounting,Marketing
Lewis & Clark College,Liberal Arts,Western,OR,-122.670337,45.45153924,38900,72600,38200,53400,104000,140000,Psychology,Biology,International Relations,English,Sociology
Long Island University,Private,Northeastern,NY,-73.5901,40.8172,47300,93200,46300,62100,122000,169000,Nursing,Business Management,Nutrition,Psychology,Biology
Louisiana State University (LSU),Party,Southern,LA,-91.18,30.4133,46900,87800,43700,61300,120000,165000,Communications,Biology,Education,Business Management,Marketing
Marquette University,Private,Midwestern,WI,-87.931088,43.03718292,48500,88400,49500,67400,121000,184000,Finance,Nursing,Biology,Marketing,Psychology
Massachusetts Institute of Technology (MIT),Engineering,Northeastern,MA,-71.092115,42.36009534,72200,126000,76800,99200,168000,220000,Computer Science,Mechanical Engineering,Math,Physics,Electrical Engineering
Mercy College,Private,Northeastern,NY,-73.874571,41.02143627,43700,62600,35600,47300,99000,134000,Business Management,Sociology,Health Care Administration,Psychology,Criminal Justice
Michigan State University (MSU),State,Midwestern,MI,-84.473639,42.72476,46300,85300,44200,61500,119000,170000,Marketing,Communications,Economics,Biology,Finance
Middlebury College,Liberal Arts,Northeastern,VT,-73.176068,44.009117,47700,94200,,69100,129000,,Economics,Political Science,Computer Science,Psychology,International Relations
Minnesota State University - Mankato,State,Midwestern,MN,-93.998494,44.147253,43300,74700,39500,53800,95700,140000,Nursing,Communications,Psychology,Business Management,Marketing
